id,region,sexo,tramo_etario,ganancia_final,lugar_trabajo,financiamiento_inicial,rama_economica,motivacion,informalidad,tramos_ganancias
796,Valparaíso,Mujer,60 años o más,300000.0,Instalación Independiente,Recursos Propios,Electricidad y Gas,Oportunidad de negocio,Informal,Menos de $350.000
797,Maule,Hombre,Adulto Medio,0.0,Instalación Independiente,Recursos Propios,Otros sectores,Otras razones,Formal,Menos de $350.000
798,Biobío,Mujer,Adulto Medio,70000.0,Instalación Independiente,Recursos Propios,Minería,Complementar ingreso familiar,Formal,Menos de $350.000
799,Antofagasta,Hombre,Adulto Medio,500000.0,A domicilio,Recursos Propios,Minería,Complementar ingreso familiar,Informal,Entre $350.000 y $700.000
800,Antofagasta,Hombre,30 a 44 años,600000.0,Instalación Independiente,Recursos Propios,Construcción,Complementar ingreso familiar,Formal,Entre $350.000 y $700.000
801,Metropolitana,Hombre,Adulto Medio,100000.0,Instalación Independiente,Recursos Propios,Manufactura,Complementar ingreso familiar,Formal,Menos de $350.000
802,Metropolitana,Hombre,Adulto Medio,150000.0,Instalación Independiente,Recursos Propios,Agua y Desechos,Complementar ingreso familiar,Informal,Menos de $350.000
803,Metropolitana,Mujer,Adulto Medio,330000.0,Instalación Independiente,Recursos Propios,Construcción,Complementar ingreso familiar,Formal,Menos de $350.000
804,Biobío,Hombre,Adulto Medio,600000.0,Instalación Independiente,Recursos Propios,Agricultura y Pesca,Complementar ingreso familiar,Formal,Entre $350.000 y $700.000
805,Antofagasta,Hombre,45 a 59 años,700000.0,En el propio hogar,Recursos Propios,Construcción,Complementar ingreso familiar,Informal,Entre $350.000 y $700.000
806,Metropolitana,Hombre,45 a 59 años,500000.0,Local u oficina comercial,Recursos Propios,Agua y Desechos,Complementar ingreso familiar,Formal,Entre $350.000 y $700.000
807,Metropolitana,Hombre,60 años o más,100000.0,A domicilio,Recursos Propios,Construcción,Complementar ingreso familiar,Formal,Menos de $350.000
808,Metropolitana,Hombre,45 a 59 años,400000.0,Instalación Independiente,Recursos Propios,Construcción,Complementar ingreso familiar,Informal,Entre $350.000 y $700.000
809,Atacama,Hombre,45 a 59 años,1700000.0,Instalación Independiente,Fondos estatales (Sercotec/Corfo),Construcción,Complementar ingreso familiar,Formal,Más de $1.500.000
810,Valparaíso,Mujer,Adulto Medio,140000.0,Instalación Independiente,Recursos Propios,Construcción,Oportunidad de negocio,Formal,Menos de $350.000
811,Biobío,Hombre,Adulto Medio,500000.0,Local u oficina comercial,Recursos Propios,Agua y Desechos,Complementar ingreso familiar,Informal,Entre $350.000 y $700.000
812,Aysén,Mujer,60 años o más,300000.0,Instalación Independiente,Recursos Propios,Electricidad y Gas,Complementar ingreso familiar,Formal,Menos de $350.000
813,Aysén,Hombre,30 a 44 años,250000.0,Instalación Independiente,Recursos Propios,Construcción,Complementar ingreso familiar,Formal,Menos de $350.000
814,Aysén,Mujer,30 a 44 años,500000.0,Instalación Independiente,Recursos Propios,Construcción,Complementar ingreso familiar,Informal,Entre $350.000 y $700.000
815,Metropolitana,Mujer,60 años o más,500000.0,En el propio hogar,Recursos Propios,Electricidad y Gas,Oportunidad de negocio,Formal,Entre $350.000 y $700.000
816,Metropolitana,Hombre,30 a 44 años,500000.0,A domicilio,Recursos Propios,Electricidad y Gas,Oportunidad de negocio,Formal,Entre $350.000 y $700.000
817,Maule,Hombre,45 a 59 años,400000.0,A domicilio,Recursos Propios,Construcción,Complementar ingreso familiar,Informal,Entre $350.000 y $700.000
818,Metropolitana,Hombre,Adulto Medio,1500000.0,A domicilio,Recursos Propios,Electricidad y Gas,Complementar ingreso familiar,Formal,Entre $700.000 y $1.500.000
819,Antofagasta,Hombre,60 años o más,150000.0,Local u oficina comercial,Recursos Propios,Agua y Desechos,Complementar ingreso familiar,Formal,Menos de $350.000
820,Metropolitana,Hombre,60 años o más,3000000.0,Instalación Independiente,Recursos Propios,Construcción,Complementar ingreso familiar,Informal,Más de $1.500.000
821,Atacama,Mujer,60 años o más,0.0,Instalación Independiente,Recursos Propios,Otros sectores,Otras razones,Formal,Menos de $350.000
822,Metropolitana,Hombre,60 años o más,600000.0,A domicilio,Recursos Propios,Construcción,Complementar ingreso familiar,Formal,Entre $350.000 y $700.000
823,Valparaíso,Hombre,Adulto Medio,800000.0,Instalación Independiente,Recursos Propios,Construcción,Oportunidad de negocio,Informal,Entre $700.000 y $1.500.000
824,Valparaíso,Hombre,45 a 59 años,150000.0,Instalación Independiente,Recursos Propios,Construcción,Complementar ingreso familiar,Formal,Menos de $350.000
825,Biobío,Hombre,Adulto Medio,7000000.0,En el propio hogar,Recursos Propios,Electricidad y Gas,Oportunidad de negocio,Formal,Más de $1.500.000
826,Antofagasta,Mujer,45 a 59 años,300000.0,Instalación Independiente,Recursos Propios,Construcción,Complementar ingreso familiar,Informal,Menos de $350.000
827,Biobío,Hombre,Adulto Medio,2000000.0,Instalación Independiente,Recursos Propios,Construcción,Complementar ingreso familiar,Formal,Más de $1.500.000
828,Metropolitana,Hombre,60 años o más,0.0,Instalación Independiente,Recursos Propios,Otros sectores,Otras razones,Formal,Menos de $350.000
829,Los Ríos,Hombre,45 a 59 años,550000.0,Instalación Independiente,Recursos Propios,Agricultura y Pesca,Complementar ingreso familiar,Informal,Entre $350.000 y $700.000
830,Tarapacá,Hombre,30 a 44 años,116000.0,A domicilio,Recursos Propios,Construcción,Complementar ingreso familiar,Formal,Menos de $350.000
831,Tarapacá,Hombre,60 años o más,909419.0,Instalación Independiente,Recursos Propios,Agua y Desechos,Complementar ingreso familiar,Formal,Entre $700.000 y $1.500.000
832,Antofagasta,Hombre,Adulto Medio,450000.0,Instalación Independiente,Recursos Propios,Construcción,Complementar ingreso familiar,Informal,Entre $350.000 y $700.000
833,Antofagasta,Hombre,45 a 59 años,750000.0,A domicilio,Recursos Propios,Electricidad y Gas,Complementar ingreso familiar,Formal,Entre $700.000 y $1.500.000
834,Antofagasta,Hombre,Adulto Medio,250000.0,Instalación Independiente,Recursos Propios,Agricultura y Pesca,Complementar ingreso familiar,Formal,Menos de $350.000
835,Antofagasta,Mujer,Adulto Medio,250000.0,Instalación Independiente,Recursos Propios,Construcción,Complementar ingreso familiar,Informal,Menos de $350.000
836,Antofagasta,Mujer,15 a 29 años,60000.0,Instalación Independiente,Recursos Propios,Electricidad y Gas,Complementar ingreso familiar,Formal,Menos de $350.000
837,Atacama,Mujer,45 a 59 años,300000.0,Instalación Independiente,Recursos Propios,Construcción,Complementar ingreso familiar,Formal,Menos de $350.000
838,O'Higgins,Mujer,30 a 44 años,1730000.0,En el propio hogar,Recursos Propios,Construcción,Complementar ingreso familiar,Informal,Más de $1.500.000
839,O'Higgins,Hombre,30 a 44 años,100000.0,Instalación Independiente,Recursos Propios,Manufactura,Oportunidad de negocio,Formal,Menos de $350.000
840,Ñuble,Mujer,45 a 59 años,80000.0,Instalación Independiente,Recursos Propios,Minería,Complementar ingreso familiar,Formal,Menos de $350.000
841,Ñuble,Hombre,60 años o más,0.0,A domicilio,Recursos Propios,Electricidad y Gas,Complementar ingreso familiar,Informal,Menos de $350.000
842,Ñuble,Mujer,Adulto Medio,43000.0,Instalación Independiente,Recursos Propios,Construcción,Complementar ingreso familiar,Formal,Menos de $350.000
843,Tarapacá,Mujer,30 a 44 años,233334.0,En el propio hogar,Recursos Propios,Construcción,Complementar ingreso familiar,Formal,Menos de $350.000
844,Tarapacá,Hombre,60 años o más,698000.0,Instalación Independiente,Recursos Propios,Construcción,Complementar ingreso familiar,Informal,Entre $350.000 y $700.000
845,Ñuble,Mujer,Adulto Medio,400000.0,En el propio hogar,Ahorros propios,Electricidad y Gas,Complementar ingreso familiar,Formal,Entre $350.000 y $700.000
846,Tarapacá,Hombre,60 años o más,300000.0,Instalación Independiente,Recursos Propios,Electricidad y Gas,Complementar ingreso familiar,Formal,Menos de $350.000
847,Arica y Parinacota,Mujer,Adulto Medio,35000.0,Instalación Independiente,Ahorros propios,Electricidad y Gas,Complementar ingreso familiar,Informal,Menos de $350.000
848,Metropolitana,Hombre,45 a 59 años,2400000.0,Instalación Independiente,Recursos Propios,Construcción,Complementar ingreso familiar,Formal,Más de $1.500.000
849,Maule,Mujer,60 años o más,50000.0,A domicilio,Préstamo familiar,Construcción,Complementar ingreso familiar,Formal,Menos de $350.000
850,Biobío,Hombre,Adulto Medio,0.0,Instalación Independiente,Recursos Propios,Otros sectores,Otras razones,Informal,Menos de $350.000
851,Maule,Hombre,Adulto Medio,-2500000.0,En el propio hogar,Recursos Propios,Electricidad y Gas,Complementar ingreso familiar,Formal,Menos de $350.000
852,La Araucanía,Mujer,45 a 59 años,400000.0,En el propio hogar,Recursos Propios,Minería,Complementar ingreso familiar,Formal,Entre $350.000 y $700.000
853,Biobío,Hombre,Adulto Medio,450000.0,Instalación Independiente,Recursos Propios,Manufactura,Complementar ingreso familiar,Informal,Entre $350.000 y $700.000
854,Atacama,Hombre,Adulto Medio,850000.0,A domicilio,Recursos Propios,Electricidad y Gas,Oportunidad de negocio,Formal,Entre $700.000 y $1.500.000
855,O'Higgins,Mujer,30 a 44 años,800000.0,En el propio hogar,Recursos Propios,Electricidad y Gas,Complementar ingreso familiar,Formal,Entre $700.000 y $1.500.000
856,Atacama,Hombre,Adulto Medio,200000.0,A domicilio,Recursos Propios,Electricidad y Gas,Complementar ingreso familiar,Informal,Menos de $350.000
857,Atacama,Hombre,Adulto Medio,80000.0,Instalación Independiente,Recursos Propios,Electricidad y Gas,Complementar ingreso familiar,Formal,Menos de $350.000
858,Biobío,Hombre,Adulto Medio,40000.0,En la vía pública,Recursos Propios,Agricultura y Pesca,Complementar ingreso familiar,Formal,Menos de $350.000
859,Arica y Parinacota,Mujer,Adulto Medio,39000.0,Instalación Independiente,Recursos Propios,Minería,Complementar ingreso familiar,Informal,Menos de $350.000
860,Metropolitana,Hombre,Adulto Medio,50000.0,Local u oficina comercial,Recursos Propios,Agua y Desechos,Complementar ingreso familiar,Formal,Menos de $350.000
861,Valparaíso,Mujer,45 a 59 años,150000.0,Instalación Independiente,Recursos Propios,Agua y Desechos,Complementar ingreso familiar,Formal,Menos de $350.000
862,Los Ríos,Mujer,Adulto Medio,28000.0,A domicilio,Recursos Propios,Minería,Complementar ingreso familiar,Informal,Menos de $350.000
863,Atacama,Hombre,60 años o más,13000000.0,En el propio hogar,Préstamo bancario,Minería,Complementar ingreso familiar,Formal,Más de $1.500.000
864,Valparaíso,Hombre,45 a 59 años,3500000.0,En el propio hogar,Recursos Propios,Electricidad y Gas,Complementar ingreso familiar,Formal,Más de $1.500.000
865,Maule,Hombre,60 años o más,180000.0,Instalación Independiente,Préstamo familiar,Agricultura y Pesca,Complementar ingreso familiar,Informal,Menos de $350.000
866,Aysén,Mujer,60 años o más,500000.0,A domicilio,Recursos Propios,Construcción,Complementar ingreso familiar,Formal,Entre $350.000 y $700.000
867,Coquimbo,Hombre,60 años o más,100000.0,En la vía pública,Recursos Propios,Agricultura y Pesca,Complementar ingreso familiar,Formal,Menos de $350.000
868,Los Lagos,Hombre,Adulto Medio,60000.0,Instalación Independiente,Recursos Propios,Construcción,Complementar ingreso familiar,Informal,Menos de $350.000
869,Coquimbo,Hombre,Adulto Medio,150000.0,Instalación Independiente,Recursos Propios,Electricidad y Gas,Complementar ingreso familiar,Formal,Menos de $350.000
870,Valparaíso,Mujer,Adulto Medio,1000000.0,Instalación Independiente,Recursos Propios,Minería,Complementar ingreso familiar,Formal,Entre $700.000 y $1.500.000
871,Atacama,Hombre,Adulto Medio,600000.0,Local u oficina comercial,Recursos Propios,Agua y Desechos,Complementar ingreso familiar,Informal,Entre $350.000 y $700.000
872,Los Ríos,Hombre,60 años o más,450000.0,Instalación Independiente,Recursos Propios,Manufactura,Complementar ingreso familiar,Formal,Entre $350.000 y $700.000
873,Valparaíso,Mujer,Adulto Medio,35000.0,Instalación Independiente,Recursos Propios,Construcción,Oportunidad de negocio,Formal,Menos de $350.000
874,Valparaíso,Mujer,Adulto Medio,250000.0,A domicilio,Recursos Propios,Electricidad y Gas,Oportunidad de negocio,Informal,Menos de $350.000
875,Maule,Hombre,Adulto Medio,100000.0,Instalación Independiente,Recursos Propios,Minería,Complementar ingreso familiar,Formal,Menos de $350.000
876,Magallanes,Mujer,45 a 59 años,450000.0,A domicilio,Recursos Propios,Minería,Complementar ingreso familiar,Formal,Entre $350.000 y $700.000
877,Maule,Mujer,Adulto Medio,0.0,Instalación Independiente,Recursos Propios,Otros sectores,Otras razones,Informal,Menos de $350.000
878,Coquimbo,Mujer,45 a 59 años,400000.0,En el propio hogar,Recursos Propios,Construcción,Complementar ingreso familiar,Formal,Entre $350.000 y $700.000
879,Valparaíso,Hombre,Adulto Medio,50000.0,Instalación Independiente,Recursos Propios,Construcción,Complementar ingreso familiar,Formal,Menos de $350.000
880,Valparaíso,Hombre,Adulto Medio,650000.0,En el propio hogar,Recursos Propios,Electricidad y Gas,Oportunidad de negocio,Informal,Entre $350.000 y $700.000
881,Valparaíso,Mujer,Adulto Medio,3770000.0,En el propio hogar,Ahorros propios,Minería,Complementar ingreso familiar,Formal,Más de $1.500.000
882,Valparaíso,Mujer,30 a 44 años,600000.0,Instalación Independiente,Recursos Propios,Electricidad y Gas,Complementar ingreso familiar,Formal,Entre $350.000 y $700.000
883,Antofagasta,Mujer,60 años o más,1240000.0,En el propio hogar,Recursos Propios,Electricidad y Gas,Complementar ingreso familiar,Informal,Entre $700.000 y $1.500.000
884,Antofagasta,Mujer,45 a 59 años,1400000.0,Instalación Independiente,Recursos Propios,Construcción,Complementar ingreso familiar,Formal,Entre $700.000 y $1.500.000
885,Biobío,Hombre,60 años o más,800000.0,Instalación Independiente,Fondos estatales (Sercotec/Corfo),Electricidad y Gas,Oportunidad de negocio,Formal,Entre $700.000 y $1.500.000
886,Valparaíso,Mujer,45 a 59 años,400000.0,Instalación Independiente,Recursos Propios,Construcción,Complementar ingreso familiar,Informal,Entre $350.000 y $700.000
887,O'Higgins,Mujer,Adulto Medio,50000.0,A domicilio,Préstamo familiar,Minería,Complementar ingreso familiar,Formal,Menos de $350.000
888,La Araucanía,Hombre,Adulto Medio,400000.0,En el propio hogar,Ahorros propios,Agricultura y Pesca,Complementar ingreso familiar,Formal,Entre $350.000 y $700.000
889,La Araucanía,Hombre,60 años o más,35000.0,Instalación Independiente,Recursos Propios,Electricidad y Gas,Complementar ingreso familiar,Informal,Menos de $350.000
890,La Araucanía,Hombre,Adulto Medio,1300000.0,A domicilio,Recursos Propios,Electricidad y Gas,Complementar ingreso familiar,Formal,Entre $700.000 y $1.500.000
891,O'Higgins,Mujer,Adulto Medio,80000.0,A domicilio,Recursos Propios,Construcción,Complementar ingreso familiar,Formal,Menos de $350.000
892,Ñuble,Mujer,45 a 59 años,22000.0,Instalación Independiente,Préstamo familiar,Electricidad y Gas,Complementar ingreso familiar,Informal,Menos de $350.000
893,Ñuble,Hombre,15 a 29 años,40000.0,Instalación Independiente,Recursos Propios,Minería,Complementar ingreso familiar,Formal,Menos de $350.000
894,Biobío,Hombre,45 a 59 años,0.0,Instalación Independiente,Recursos Propios,Otros sectores,Otras razones,Formal,Menos de $350.000
895,Valparaíso,Hombre,Adulto Medio,2166000.0,En la vía pública,Ahorros propios,Agricultura y Pesca,Complementar ingreso familiar,Informal,Más de $1.500.000
896,Coquimbo,Hombre,45 a 59 años,500000.0,Instalación Independiente,Ahorros propios,Agricultura y Pesca,Complementar ingreso familiar,Formal,Entre $350.000 y $700.000
897,Coquimbo,Mujer,45 a 59 años,350000.0,Instalación Independiente,Recursos Propios,Construcción,Complementar ingreso familiar,Formal,Menos de $350.000
898,Valparaíso,Hombre,Adulto Medio,1500000.0,Instalación Independiente,Recursos Propios,Construcción,Complementar ingreso familiar,Informal,Entre $700.000 y $1.500.000
899,Metropolitana,Hombre,Adulto Medio,1000000.0,A domicilio,Recursos Propios,Construcción,Complementar ingreso familiar,Formal,Entre $700.000 y $1.500.000
900,O'Higgins,Mujer,45 a 59 años,450000.0,A domicilio,Recursos Propios,Electricidad y Gas,Oportunidad de negocio,Formal,Entre $350.000 y $700.000
901,O'Higgins,Mujer,Adulto Medio,80000.0,Instalación Independiente,Ahorros propios,Minería,Complementar ingreso familiar,Informal,Menos de $350.000
902,Atacama,Mujer,Adulto Medio,50000.0,Instalación Independiente,Recursos Propios,Electricidad y Gas,Complementar ingreso familiar,Formal,Menos de $350.000
903,Arica y Parinacota,Hombre,45 a 59 años,830000.0,Instalación Independiente,Préstamo bancario,Manufactura,Complementar ingreso familiar,Formal,Entre $700.000 y $1.500.000
904,Maule,Hombre,Adulto Medio,200000.0,Instalación Independiente,Recursos Propios,Agricultura y Pesca,Complementar ingreso familiar,Informal,Menos de $350.000
905,Coquimbo,Hombre,60 años o más,500000.0,Instalación Independiente,Recursos Propios,Minería,Complementar ingreso familiar,Formal,Entre $350.000 y $700.000
906,Atacama,Mujer,45 a 59 años,520000.0,Instalación Independiente,Recursos Propios,Minería,Complementar ingreso familiar,Formal,Entre $350.000 y $700.000
907,Atacama,Hombre,Adulto Medio,800000.0,Instalación Independiente,Recursos Propios,Manufactura,Complementar ingreso familiar,Informal,Entre $700.000 y $1.500.000
908,Aysén,Hombre,Adulto Medio,400000.0,En la vía pública,Recursos Propios,Electricidad y Gas,Complementar ingreso familiar,Formal,Entre $350.000 y $700.000
909,Tarapacá,Mujer,45 a 59 años,150000.0,Instalación Independiente,Recursos Propios,Electricidad y Gas,Complementar ingreso familiar,Formal,Menos de $350.000
910,Tarapacá,Mujer,30 a 44 años,1000000.0,Instalación Independiente,Recursos Propios,Construcción,Complementar ingreso familiar,Informal,Entre $700.000 y $1.500.000
911,Tarapacá,Mujer,45 a 59 años,500000.0,Instalación Independiente,Préstamo familiar,Minería,Complementar ingreso familiar,Formal,Entre $350.000 y $700.000
912,Tarapacá,Mujer,Adulto Medio,300000.0,Instalación Independiente,Ahorros propios,Minería,Complementar ingreso familiar,Formal,Menos de $350.000
913,Tarapacá,Hombre,Adulto Medio,400000.0,Instalación Independiente,Ahorros propios,Minería,Complementar ingreso familiar,Informal,Entre $350.000 y $700.000
914,Tarapacá,Hombre,Adulto Medio,60000.0,Instalación Independiente,Recursos Propios,Manufactura,Complementar ingreso familiar,Formal,Menos de $350.000
915,O'Higgins,Mujer,30 a 44 años,300000.0,Instalación Independiente,Recursos Propios,Minería,Complementar ingreso familiar,Formal,Menos de $350.000
916,Arica y Parinacota,Hombre,45 a 59 años,0.0,En la vía pública,Recursos Propios,Agricultura y Pesca,Oportunidad de negocio,Informal,Menos de $350.000
917,Atacama,Mujer,Adulto Medio,750000.0,En el propio hogar,Recursos Propios,Construcción,Complementar ingreso familiar,Formal,Entre $700.000 y $1.500.000
918,Valparaíso,Mujer,Adulto Medio,10000.0,Instalación Independiente,Recursos Propios,Construcción,Complementar ingreso familiar,Formal,Menos de $350.000
919,Valparaíso,Hombre,45 a 59 años,350000.0,Instalación Independiente,Recursos Propios,Minería,Complementar ingreso familiar,Informal,Menos de $350.000
920,Biobío,Mujer,60 años o más,300000.0,En el propio hogar,Ahorros propios,Electricidad y Gas,Complementar ingreso familiar,Formal,Menos de $350.000
921,Valparaíso,Hombre,15 a 29 años,90000.0,Instalación Independiente,Recursos Propios,Manufactura,Complementar ingreso familiar,Formal,Menos de $350.000
922,Biobío,Mujer,Adulto Medio,90000.0,En el propio hogar,Recursos Propios,Construcción,Complementar ingreso familiar,Informal,Menos de $350.000
923,Coquimbo,Mujer,30 a 44 años,0.0,Instalación Independiente,Recursos Propios,Otros sectores,Otras razones,Formal,Menos de $350.000
924,Biobío,Hombre,60 años o más,600000.0,Instalación Independiente,Recursos Propios,Manufactura,Complementar ingreso familiar,Formal,Entre $350.000 y $700.000
925,Biobío,Mujer,30 a 44 años,550000.0,Local u oficina comercial,Recursos Propios,Agua y Desechos,Complementar ingreso familiar,Informal,Entre $350.000 y $700.000
926,Valparaíso,Hombre,Adulto Medio,6000000.0,En el propio hogar,Fondos estatales (Sercotec/Corfo),Construcción,Complementar ingreso familiar,Formal,Más de $1.500.000
927,Aysén,Mujer,30 a 44 años,400000.0,A domicilio,Recursos Propios,Minería,Complementar ingreso familiar,Formal,Entre $350.000 y $700.000
928,Aysén,Mujer,30 a 44 años,1000000.0,En el propio hogar,Recursos Propios,Construcción,Complementar ingreso familiar,Informal,Entre $700.000 y $1.500.000
929,Los Lagos,Mujer,Adulto Medio,900000.0,En el propio hogar,Recursos Propios,Agricultura y Pesca,Oportunidad de negocio,Formal,Entre $700.000 y $1.500.000
930,Valparaíso,Hombre,Adulto Medio,0.0,Instalación Independiente,Recursos Propios,Otros sectores,Otras razones,Formal,Menos de $350.000
931,Maule,Mujer,Adulto Medio,700000.0,A domicilio,Recursos Propios,Electricidad y Gas,Complementar ingreso familiar,Informal,Entre $350.000 y $700.000
932,Los Lagos,Hombre,Adulto Medio,500000.0,Instalación Independiente,Recursos Propios,Manufactura,Complementar ingreso familiar,Formal,Entre $350.000 y $700.000
933,Maule,Hombre,45 a 59 años,900000.0,A domicilio,Recursos Propios,Minería,Complementar ingreso familiar,Formal,Entre $700.000 y $1.500.000
934,Coquimbo,Hombre,60 años o más,200000.0,En la vía pública,Recursos Propios,Agricultura y Pesca,Complementar ingreso familiar,Informal,Menos de $350.000
935,Coquimbo,Hombre,60 años o más,573334.0,En la vía pública,Ahorros propios,Agricultura y Pesca,Complementar ingreso familiar,Formal,Entre $350.000 y $700.000
936,Biobío,Hombre,Adulto Medio,0.0,Instalación Independiente,Recursos Propios,Otros sectores,Otras razones,Formal,Menos de $350.000
937,Tarapacá,Hombre,60 años o más,89000.0,Instalación Independiente,Recursos Propios,Manufactura,Complementar ingreso familiar,Informal,Menos de $350.000
938,La Araucanía,Mujer,Adulto Medio,55000.0,Instalación Independiente,Recursos Propios,Electricidad y Gas,Complementar ingreso familiar,Formal,Menos de $350.000
939,La Araucanía,Hombre,Adulto Medio,200000.0,Instalación Independiente,Recursos Propios,Agua y Desechos,Complementar ingreso familiar,Formal,Menos de $350.000
940,Valparaíso,Hombre,60 años o más,700000.0,Instalación Independiente,Recursos Propios,Minería,Oportunidad de negocio,Informal,Entre $350.000 y $700.000
941,Metropolitana,Hombre,30 a 44 años,400000.0,Instalación Independiente,Recursos Propios,Construcción,Complementar ingreso familiar,Formal,Entre $350.000 y $700.000
942,Antofagasta,Mujer,60 años o más,600000.0,Instalación Independiente,Recursos Propios,Electricidad y Gas,Complementar ingreso familiar,Formal,Entre $350.000 y $700.000
943,La Araucanía,Hombre,60 años o más,1280000.0,Instalación Independiente,Ahorros propios,Construcción,Complementar ingreso familiar,Informal,Entre $700.000 y $1.500.000
944,La Araucanía,Mujer,60 años o más,600000.0,En el propio hogar,Recursos Propios,Construcción,Complementar ingreso familiar,Formal,Entre $350.000 y $700.000
945,Antofagasta,Hombre,60 años o más,3000000.0,En el propio hogar,Recursos Propios,Electricidad y Gas,Complementar ingreso familiar,Formal,Más de $1.500.000
946,Ñuble,Hombre,Adulto Medio,120000.0,Instalación Independiente,Recursos Propios,Construcción,Complementar ingreso familiar,Informal,Menos de $350.000
947,Biobío,Mujer,Adulto Medio,800000.0,A domicilio,Recursos Propios,Electricidad y Gas,Complementar ingreso familiar,Formal,Entre $700.000 y $1.500.000
948,Ñuble,Hombre,60 años o más,120000.0,En el propio hogar,Recursos Propios,Construcción,Complementar ingreso familiar,Formal,Menos de $350.000
949,Ñuble,Mujer,Adulto Medio,200000.0,A domicilio,Recursos Propios,Electricidad y Gas,Complementar ingreso familiar,Informal,Menos de $350.000
950,Atacama,Hombre,Adulto Medio,300000.0,Instalación Independiente,Recursos Propios,Manufactura,Complementar ingreso familiar,Formal,Menos de $350.000
951,Atacama,Mujer,60 años o más,25000.0,Instalación Independiente,Recursos Propios,Electricidad y Gas,Complementar ingreso familiar,Formal,Menos de $350.000
952,Arica y Parinacota,Hombre,Adulto Medio,1388000.0,Instalación Independiente,Recursos Propios,Electricidad y Gas,Complementar ingreso familiar,Informal,Entre $700.000 y $1.500.000
953,Coquimbo,Hombre,Adulto Medio,850000.0,Instalación Independiente,Recursos Propios,Construcción,Complementar ingreso familiar,Formal,Entre $700.000 y $1.500.000
954,Coquimbo,Mujer,Adulto Medio,-269000.0,A domicilio,Recursos Propios,Electricidad y Gas,Complementar ingreso familiar,Formal,Menos de $350.000
955,Coquimbo,Mujer,60 años o más,3900000.0,A domicilio,Recursos Propios,Minería,Oportunidad de negocio,Informal,Más de $1.500.000
956,Ñuble,Mujer,Adulto Medio,133000.0,Instalación Independiente,Recursos Propios,Construcción,Complementar ingreso familiar,Formal,Menos de $350.000
957,Coquimbo,Mujer,Adulto Medio,3934.0,Instalación Independiente,Recursos Propios,Agricultura y Pesca,Complementar ingreso familiar,Formal,Menos de $350.000
958,Coquimbo,Mujer,Adulto Medio,7000.0,Instalación Independiente,Recursos Propios,Construcción,Complementar ingreso familiar,Informal,Menos de $350.000
959,Valparaíso,Mujer,45 a 59 años,0.0,Instalación Independiente,Recursos Propios,Otros sectores,Otras razones,Formal,Menos de $350.000
960,Valparaíso,Mujer,45 a 59 años,250000.0,En el propio hogar,Recursos Propios,Construcción,Oportunidad de negocio,Formal,Menos de $350.000
961,Arica y Parinacota,Mujer,45 a 59 años,150000.0,A domicilio,Recursos Propios,Electricidad y Gas,Oportunidad de negocio,Informal,Menos de $350.000
962,Metropolitana,Hombre,Adulto Medio,120000.0,Instalación Independiente,Recursos Propios,Electricidad y Gas,Oportunidad de negocio,Formal,Menos de $350.000
963,Metropolitana,Hombre,Adulto Medio,500000.0,Instalación Independiente,Recursos Propios,Manufactura,Complementar ingreso familiar,Formal,Entre $350.000 y $700.000
964,Maule,Hombre,Adulto Medio,800000.0,Instalación Independiente,Recursos Propios,Electricidad y Gas,Complementar ingreso familiar,Informal,Entre $700.000 y $1.500.000
965,Maule,Mujer,Adulto Medio,40000.0,Instalación Independiente,Recursos Propios,Electricidad y Gas,Complementar ingreso familiar,Formal,Menos de $350.000
966,Maule,Hombre,45 a 59 años,-600000.0,A domicilio,Recursos Propios,Construcción,Oportunidad de negocio,Formal,Menos de $350.000
967,La Araucanía,Mujer,45 a 59 años,40000.0,Instalación Independiente,Recursos Propios,Minería,Oportunidad de negocio,Informal,Menos de $350.000
968,La Araucanía,Mujer,60 años o más,300000.0,A domicilio,Recursos Propios,Electricidad y Gas,Complementar ingreso familiar,Formal,Menos de $350.000
969,Maule,Mujer,Adulto Medio,0.0,Instalación Independiente,Recursos Propios,Otros sectores,Otras razones,Formal,Menos de $350.000
970,Valparaíso,Hombre,30 a 44 años,0.0,Instalación Independiente,Recursos Propios,Otros sectores,Otras razones,Informal,Menos de $350.000
971,Metropolitana,Mujer,60 años o más,150000.0,Instalación Independiente,Recursos Propios,Agricultura y Pesca,Complementar ingreso familiar,Formal,Menos de $350.000
972,La Araucanía,Mujer,Adulto Medio,160000.0,Instalación Independiente,Recursos Propios,Construcción,Complementar ingreso familiar,Formal,Menos de $350.000
973,La Araucanía,Hombre,30 a 44 años,300000.0,Instalación Independiente,Recursos Propios,Electricidad y Gas,Complementar ingreso familiar,Informal,Menos de $350.000
974,Metropolitana,Mujer,Adulto Medio,84000.0,Instalación Independiente,Recursos Propios,Electricidad y Gas,Complementar ingreso familiar,Formal,Menos de $350.000
975,Los Ríos,Mujer,Adulto Medio,20000.0,Instalación Independiente,Recursos Propios,Electricidad y Gas,Complementar ingreso familiar,Formal,Menos de $350.000
976,Metropolitana,Hombre,Adulto Medio,400000.0,A domicilio,Recursos Propios,Construcción,Complementar ingreso familiar,Informal,Entre $350.000 y $700.000
977,La Araucanía,Hombre,45 a 59 años,50000.0,Instalación Independiente,Recursos Propios,Construcción,Complementar ingreso familiar,Formal,Menos de $350.000
